ticker,sector_id,sector_name
600519.SS,4,ConsStaples
601318.SS,6,Financials
600036.SS,6,Financials
000858.SZ,4,ConsStaples
600276.SS,5,Healthcare
601166.SS,6,Financials
601888.SS,3,ConsDisc
300059.SZ,6,Financials
000651.SZ,3,ConsDisc
600900.SS,9,Utilities
600887.SS,4,ConsStaples
000001.SZ,6,Financials
000725.SZ,7,InfoTech
600030.SS,6,Financials
300015.SZ,5,Healthcare
601398.SS,6,Financials
000568.SZ,4,ConsStaples
600031.SS,2,Industrials
600309.SS,1,Materials
000002.SZ,10,RealEstate
600809.SS,4,ConsStaples
601919.SS,2,Industrials
002142.SZ,6,Financials
600436.SS,5,Healthcare
601328.SS,6,Financials
601899.SS,1,Materials
002304.SZ,4,ConsStaples
002352.SZ,2,Industrials
002230.SZ,7,InfoTech
300014.SZ,7,InfoTech
600000.SS,6,Financials
600438.SS,1,Materials
600837.SS,6,Financials
000661.SZ,5,Healthcare
000100.SZ,7,InfoTech
000063.SZ,7,InfoTech
002241.SZ,7,InfoTech
002271.SZ,1,Materials
600585.SS,1,Materials
600690.SS,3,ConsDisc
601601.SS,6,Financials
601668.SS,2,Industrials
002027.SZ,8,CommServ
600016.SS,6,Financials
600763.SS,5,Healthcare
600196.SS,5,Healthcare
000338.SZ,2,Industrials
600048.SS,10,RealEstate
600703.SS,7,InfoTech
002129.SZ,7,InfoTech
600050.SS,8,CommServ
601688.SS,6,Financials
600660.SS,3,ConsDisc
600104.SS,3,ConsDisc
600570.SS,7,InfoTech
601766.SS,2,Industrials
601169.SS,6,Financials
600999.SS,6,Financials
002311.SZ,4,ConsStaples
002371.SZ,7,InfoTech
600019.SS,1,Materials
002049.SZ,7,InfoTech
600406.SS,7,InfoTech
601088.SS,0,Energy
601988.SS,6,Financials
000538.SZ,5,Healthcare
000625.SZ,3,ConsDisc
600745.SS,7,InfoTech
600028.SS,0,Energy
600893.SS,2,Industrials
600346.SS,1,Materials
601628.SS,6,Financials
600588.SS,7,InfoTech
601009.SS,6,Financials
601390.SS,2,Industrials
601857.SS,0,Energy
600009.SS,2,Industrials
600132.SS,4,ConsStaples
600584.SS,7,InfoTech
000776.SZ,6,Financials
000895.SZ,4,ConsStaples
002001.SZ,5,Healthcare
600111.SS,1,Materials
600426.SS,1,Materials
601939.SS,6,Financials
000166.SZ,6,Financials
002050.SZ,3,ConsDisc
002179.SZ,7,InfoTech
